image	theta (circle)	uncertainty	std dev (circle)	theta (left)	theta (right)	theta (ellipse)	std dev (ellipse)	eccentricity
laser_1	62.8	1.1	1.69	63.2	60.1	61.6	9.27	0.96
laser_2	68.1	1.7	1.85	55.7	57.1	56.4	6.09	0.83
laser_3	"77,5"	0.9	0.7	77.4	74.6	76	5.08	0.96
laser_4	71.6	2.1	2.23	69	59.4	64.2	4.45	0.86
laser_5	20.7	58.8	34.68	58.2	69.7	64	9	0.78
oven_1	50.8	2.2	2.34	45.6	44.4	45	10.93	0.9
oven_2	56.2	1.2	1.42	51.2	52.7	52	7.21	0.93
oven_3	88	60.5	1978682117	60.9	60	60.4	8.28	0.99
oven_4	53	1.5	1.86	58	56.6	57.3	8.28	0.93
oven_5	109.8	6.9	362396170	63	64.5	63.8	8.83	0.9
uncoated_1	65.1	1.5	2.54	60	58.3	59.2	12.81	0.91
uncoated_2	56	2.3	3.58	49.6	46.6	48.1	12.09	0.88
uncoated_3	55.6	1.2	1.48	53	50.6	51.8	5.88	0.94
uncoated_4	58.2	280	892730616	49.7	50.1	49.9	8.37	0.94
uncoated_5	54.9	13.7	192481838	57.5	56.1	56.8	11.25	0.91
